ID_NOTICE_CAN,ISO_COUNTRY_CODE,WIN_COUNTRY_CODE,AWARD_VALUE_EURO
2019481755,DE,DE,454467.88
2019453079,FR,,391000
2019337344,RO,RO,226226.06
2019215625,RO,RO,30.07
2019176790,CH,CH,374095.96
20192607,DE,DE,443037.4
2019191713,SI,SI,4362.85
201991784,IT,IT,38528
2019105292,PL,,
2019262816,RO,RO,986.24
201952616,ES,ES,1
201952332,LV,LV,567157.25
2019598045,ES,,
2019447787,SI,,
2019544083,RO,RO---RO---RO---RO,416385.05
2019457172,GR,GR,1007
2019371658,FR,FR,150000
2019185912,RO,RO,9483.07
2019167620,GR,,
2019600113,IT,,
2019366053,BE,,
201957634,BG,,
2019510207,RO,RO---RO---RO---RO,77938.17
2019450826,FR,FR,200000
2019615777,PL,,
2019392521,RO,,
2019213084,RO,,
2019421845,RO,RO,776.35
201965681,RO,,
201935804,PL,,
2019480784,RO,,
2019156225,FR,FR,66588.81
2019415254,BG,,
2019574584,DE,,
2019470165,PL,PL---PL,309697.51
201989926,RO,,
2019270492,MK,,
2019125132,FR,FR,133747.2
2019227007,DK,DK,306252.53
2019528154,ES,,
2019479876,HU,HU,1355.95
2019298263,RO,RO---RO---RO,3155.96
2019221948,RO,,
2019483394,BG,,
2019288527,MK,MK,2369.13
2019498986,PL,PL,1269.08
2019146319,RO,,
2019581040,RO,RO,201.04
201933395,RO,,
2019122695,BE,BE,278693.25
201948519,FR,FR---FR,198896
2019445580,PL,PL,2714.07
201955189,SI,SI---SI---SI,75679
2019282925,FR,FR,29709400
2019223237,PL,PL,130886.8
2019572660,HU,HU,47648.32
201931934,IE,,
2019213084,RO,,
2019519867,SI,,
2019368385,FR,,
2019270361,IT,IT---IT,1044311.12
2019515741,BE,,
2019562628,DE,DE,130000
2019433312,RO,RO,2160.03
20191716,PL,,
2019181320,DE,DE,1
2019176533,PT,,
2019112342,DE,DE,0.01
2019318810,RO,RO,5932607
2019275639,NL,,
2019486652,SE,SE,793268.55
2019411779,SE,SE,269144.69
2019269835,UK,UK,39873771.03
20195832,PL,PL,168826.79
2019591450,RO,RO,315.89
2019505633,FR,FR,1
2019119352,BG,,
201919296,UK,UK,20506510.82
2019588736,AT,AT,271630
2019519912,RO,RO,1727.5
2019620386,FR,FR,43832
2019296443,PL,PL,424956.67
2019577283,FR,FR,250000000
2019361788,RO,RO,16993.66
2019412971,RO,,
2019455592,PL,,
2019311882,FR,,
2019504161,BG,BG,1160.65
2019318931,UK,UK,153909.34
2019605595,RO,,
2019154094,ES,ES,238059.84
2019583316,RO,RO---RO---RO,13922.66
2019279617,RO,RO,381.66
2019555339,AT,AT,971905.46
2019159243,LT,,
2019557019,ES,ES,1090315.9
2019605670,FR,FR,22982
2019164763,RO,,
2019522478,RO,,
20196114,NL,,
2019385009,RO,RO,66.38
2019131970,PL,,
2019494047,GR,GR,54183
2019390406,FR,FR,21000
2019174198,MK,MK---HR,134276.66
2019422949,PL,,
2019271642,FR,FR,81828.88
2019268117,RO,,
2019534825,PL,,
201946604,IT,IT,56.12
201985432,RO,,
2019123765,FR,FR,675355
2019353473,PL,PL,12099.78
2019167721,HU,,
2019618126,RO,RO,34221.83
2019215398,RO,,
2019387532,CZ,CZ,66225.17
2019419642,FR,FR,25000
2019312988,IT,IT,6607
2019112126,SK,SK,72650
2019434874,NO,NO,42634.83
201997869,ES,ES,38962
2019255587,GR,IT,2436.01
2019302823,HU,HU,9099.29
2019413845,ES,ES---ES,55000
2019380609,EE,EE,206100
2019409346,PL,PL,46414.28
2019613161,HR,HR,292262.07
201958535,FR,FR---FR,167125
2019271803,DE,DE,1
2019358371,PL,,
2019543394,SE,NL,2063000
2019136157,PL,PL,4983.51
201985186,BG,,
2019396042,LT,,
2019186212,RO,RO,1264.41
2019398390,RO,,
2019455729,ES,ES,16800
201983200,PL,PL,13623.77
2019118704,DE,DE,132186
2019271957,LT,,
2019185912,RO,RO---RO---RO,1011.53
2019575678,DE,DE,283500
201942923,SI,,
2019183876,SK,,
2019442742,RO,,
2019421919,RO,RO,206.52
2019599947,PL,PL---PL,24154.68
2019422035,LT,,
2019597147,FI,FI,84000
2019370377,HU,HU,5994.47
2019331939,RO,RO,350230.75
201974062,FR,FR,314633
2019131192,RO,,
2019564075,LT,LT,30500
2019497571,FR,FR,89250
2019350194,DE,DE,0.01
2019241105,MK,MK,614.57
20199292,RO,RO,148.5
2019326702,MT,,
2019141372,BG,,
2019354413,RO,,
2019515917,FR,FR,30951
201987899,RO,RO,28.44
2019329187,RO,,
2019583640,SI,SI---SI,76804.38
201993614,SE,SE,283310.2
2019244271,HR,,
2019473683,ES,ES,316175.28
2019433351,PL,PL,17401.57
2019440679,RO,,
2019514076,SI,SI,1476.49
20193870,FR,FR,211259
2019297793,IT,IT---IT,1704057.66
2019126628,PL,PL,581.69
2019604382,LU,LU,2504500
2019120290,FR,FR---FR---FR,330000
2019615656,RO,RO,343.39
2019288568,NO,NO,19954.62
2019543655,FR,FR,33687.28
2019517663,RO,,
2019239574,BG,,
2019553795,PL,PL,1143849.01
2019460331,PL,PL,54465.24
2019556371,DE,,
2019201390,UK,UK,84141.79
2019591450,RO,,
2019483323,RO,RO,1295176.28
201926118,SI,SI,1042
2019332111,RO,RO---RO,19942.76
201910096,SE,SE,9443.67
2019606836,HU,,
2019241970,RO,,
2019298203,EE,EE,99000
2019613331,RO,,
2019615485,PL,PL---PL---PL,3801817.92
2019469963,UK,,
201955291,FR,FR,1637.7
2019564804,RO,RO,318.51
201940092,UK,UK---UK---UK---UK---UK---UK---UK---UK---UK---UK,2278501.2
2019109840,EE,,
2019613162,HR,HR,55440.15
201931901,UK,UK,12121.63
2019171622,CH,CH---CH---CH,6742179.07
2019522280,PL,PL,1919.96
2019241009,BG,BG,43480.57
2019594347,RO,RO---RO,2423.45
2019571146,RO,,
2019504430,PL,PL,939.59
201938151,SI,,
201921907,UK,UK,74.4
2019217408,NO,NO,0.1
2019339565,HU,,
2019567161,RO,,
2019293852,RO,RO---RO---RO,250.35
2019244288,SI,SI,375.24
2019599801,IT,,
201986060,ES,ES,205466.34
2019102617,FR,FR,4600
201974118,PL,PL,11568.92
201943064,RO,,
2019575565,DE,DE,0.01
2019165745,IT,,
2019588663,RO,,
2019361671,DE,DE,1
2019341045,LV,LV,
201974663,NL,NL,1
2019578252,RO,RO,132.26
2019613273,SI,SI---SI,12387
201945627,PL,PL,6716.33
2019534866,RO,RO,1004.94
2019374189,FR,FR---FR,467549.5
2019382085,RO,RO,201.86
2019138801,AT,,
2019308947,RO,,
2019507272,LV,LV,742.57
2019205103,UK,UK,22785012.02
2019161481,PL,,
2019356728,BG,,
2019361718,PT,PT,456
2019242690,RO,RO,868.7
2019290781,MK,,
2019507127,LV,LV,36190
2019615656,RO,RO,1581.32
2019310302,IT,IT,63515.37
2019359369,PL,,
2019103765,FI,,
2019287838,DE,DE,39400
2019100955,FR,FR,85200
2019485640,RO,RO,51.84
201923733,ES,,
2019615569,UK,UK,81342.49
2019583505,BG,BG,34001.43
2019313966,DE,DE,25273
2019122441,SK,SK,1800000
2019346052,SK,HU,538196.7
2019577726,FR,FR,162750
2019524471,UK,UK,4580386.66
201994059,PL,PL---PL---PL---PL---PL---PL,698064.04
2019440395,RO,RO,28010.87
2019388588,UK,,
2019441188,RO,,
201990224,HR,,
2019538092,RO,RO,1221925.48
2019259578,NL,NL,660600
2019437724,FR,FR,166105
2019106145,ES,ES,693400.75
2019400259,BG,,
2019475777,PL,,
2019417267,RO,RO,214587.96
2019234263,LV,,
2019519191,CZ,CZ,2244.56
2019534697,RO,RO,5257.83
2019219669,LT,,
2019125132,FR,FR,261744
2019585051,RO,,
2019596881,RO,,
2019286799,RO,RO,16858.77
2019481040,ES,ES,63483.57
201964629,LT,,
2019278198,SE,SE,0.09
2019519788,CZ,,
2019265361,RO,,
2019492891,FR,FR,1
2019100254,RO,,
2019156697,PL,PL,31.04
2019528247,BE,,
2019374651,FR,,
201986112,ES,ES,61860
2019588869,RO,,
2019387560,ES,,
201969356,HR,,
20197344,IT,IT,384140
2019330006,DK,DK,80363241.85
2019335644,UK,UK,3254.19
2019426832,PL,PL,15413.68
2019519740,PL,PL,31294.96
2019597176,RO,,
201952689,LT,,
2019508313,PL,,
201992706,LT,,
2019554097,GR,GR,306.3
2019493063,FR,FR,1989801
2019598164,SE,SE,151.1
2019469495,UK,UK,1340536.81
2019115392,RO,RO,478.63
2019615349,IT,,
201923514,DE,DE,1
2019423863,PL,PL,535.18
2019390419,PL,,
2019212907,SK,SK,8400
2019431472,RO,RO,125386.57
2019527157,LT,,
201956138,FR,FR,573840.57
2019224423,PL,,
2019230741,DE,,
2019594347,RO,RO---RO---RO,546.22
201998519,LV,LV,6305.83
201950207,RO,RO,209.68
2019221109,MT,BE,800000
2019452879,DE,DE,22609.63
2019239545,PL,PL,64570.81
2019496383,GR,GR,8300
20192197,SE,SE,0.09
2019426776,FR,FR,148890
2019196967,PL,PL,22338.05
2019170130,IT,IT,2160
2019154140,RO,RO,6145.03
2019493822,SI,SI,1033.32
2019282094,RO,,
2019189766,SI,SI,749.3
2019121546,PL,PL,505.05
